,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,1.3134589653750047e-17,0.5885314737471301,0.6310853458106562,0.6310853458106562,0.5890182522700554,0.5890181976139358,0.5890181976139358
instanceNumber,1.3134589653750047e-17,1.0,-7.174244634107055e-15,0.001423903500650929,0.001423903500650929,5.4888050556509005e-05,5.4971103649122596e-05,5.4971103649122596e-05
nodeNumber,0.5885314737471301,-7.174244634107055e-15,1.0,0.8284520082355574,0.8284520082355574,0.7574372914304444,0.7564193515043036,0.7564193515043036
degreeRank,0.6310853458106562,0.001423903500650929,0.8284520082355574,1.0,1.0,0.8955141387436941,0.8993389003738419,0.8993389003738419
closenessRank,0.6310853458106562,0.001423903500650929,0.8284520082355574,1.0,1.0,0.8955141387436941,0.8993389003738419,0.8993389003738419
betweennessRank,0.5890182522700554,5.4888050556509005e-05,0.7574372914304444,0.8955141387436941,0.8955141387436941,1.0,0.9989505682507791,0.9989505682507791
loadRank,0.5890181976139358,5.4971103649122596e-05,0.7564193515043036,0.8993389003738419,0.8993389003738419,0.9989505682507791,1.0,1.0
reachRank,0.5890181976139358,5.4971103649122596e-05,0.7564193515043036,0.8993389003738419,0.8993389003738419,0.9989505682507791,1.0,1.0
