,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,0.0,0.5953882660704258,0.5589136067586201,0.5589136067586201,0.595390331132614,0.595390331132614,0.595390331132614
instanceNumber,0.0,1.0,0.0,-0.0009469761179537136,-0.0009469761179537136,3.3685894869426422e-06,3.3685894869426422e-06,3.3685894869426422e-06
nodeNumber,0.5953882660704258,0.0,1.0,0.3423974086549526,0.3423974086549526,0.3644306063315404,0.364320140045335,0.364320140045335
degreeRank,0.5589136067586201,-0.0009469761179537136,0.3423974086549526,1.0,1.0,0.9859486283799254,0.9849148195873656,0.9849148195873656
closenessRank,0.5589136067586201,-0.0009469761179537136,0.3423974086549526,1.0,1.0,0.9859486283799254,0.9849148195873656,0.9849148195873656
betweennessRank,0.595390331132614,3.3685894869426422e-06,0.3644306063315404,0.9859486283799254,0.9859486283799254,1.0,0.9997465822734385,0.9997465822734385
loadRank,0.595390331132614,3.3685894869426422e-06,0.364320140045335,0.9849148195873656,0.9849148195873656,0.9997465822734385,1.0,1.0
reachRank,0.595390331132614,3.3685894869426422e-06,0.364320140045335,0.9849148195873656,0.9849148195873656,0.9997465822734385,1.0,1.0
