,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,3.2836474134342033e-18,0.5885314737467899,0.5593660543428841,0.5593660543428841,0.5007699041836827,0.5007670942715408,0.5007670942715408
instanceNumber,3.2836474134342033e-18,1.0,-7.180059192217642e-15,0.00023598499972039445,0.00023598499972039445,-0.0012550451712052939,-0.001259581375419124,-0.001259581375419124
nodeNumber,0.5885314737467899,-7.180059192217642e-15,1.0,0.5003336203528439,0.5003336203528439,0.40969390317617416,0.4093991709632195,0.4093991709632195
degreeRank,0.5593660543428841,0.00023598499972039445,0.5003336203528439,1.0,1.0,0.8123565542968927,0.8130492924150642,0.8130492924150642
closenessRank,0.5593660543428841,0.00023598499972039445,0.5003336203528439,1.0,1.0,0.8123565542968927,0.8130492924150642,0.8130492924150642
betweennessRank,0.5007699041836827,-0.0012550451712052939,0.40969390317617416,0.8123565542968927,0.8123565542968927,1.0,0.999626489227615,0.999626489227615
loadRank,0.5007670942715408,-0.001259581375419124,0.4093991709632195,0.8130492924150642,0.8130492924150642,0.999626489227615,1.0,1.0
reachRank,0.5007670942715408,-0.001259581375419124,0.4093991709632195,0.8130492924150642,0.8130492924150642,0.999626489227615,1.0,1.0
