,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,0.0,0.48495401006953665,0.37812194524798415,0.37812194524798415,0.5175943954610127,0.5175943954610127,0.5175943954610127
instanceNumber,0.0,1.0,0.0,0.00815540372510698,0.00815540372510698,-0.0026304877211927318,-0.0026304877211927318,-0.0026304877211927318
nodeNumber,0.48495401006953665,0.0,1.0,0.19451325084973733,0.19451325084973733,0.2567565628387077,0.2567565628387077,0.2567565628387077
degreeRank,0.37812194524798415,0.00815540372510698,0.19451325084973733,1.0,1.0,0.5972064957533691,0.5972064957533691,0.5972064957533691
closenessRank,0.37812194524798415,0.00815540372510698,0.19451325084973733,1.0,1.0,0.5972064957533691,0.5972064957533691,0.5972064957533691
betweennessRank,0.5175943954610127,-0.0026304877211927318,0.2567565628387077,0.5972064957533691,0.5972064957533691,1.0,1.0,1.0
loadRank,0.5175943954610127,-0.0026304877211927318,0.2567565628387077,0.5972064957533691,0.5972064957533691,1.0,1.0,1.0
reachRank,0.5175943954610127,-0.0026304877211927318,0.2567565628387077,0.5972064957533691,0.5972064957533691,1.0,1.0,1.0
