,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,0.0,0.5953882660704258,0.6713283882853195,0.6713283882853195,0.833999709075869,0.8339418557152771,0.8339418557152771
instanceNumber,0.0,1.0,0.0,-0.023256146003486956,-0.023256146003486956,-0.0646137976036399,-0.06489252978837216,-0.06489252978837216
nodeNumber,0.5953882660704258,0.0,1.0,0.7972847400318944,0.7972847400318944,0.6270704212635905,0.6270207802125026,0.6270207802125026
degreeRank,0.6713283882853195,-0.023256146003486956,0.7972847400318944,1.0,1.0,0.7302080561474583,0.7302636248807942,0.7302636248807942
closenessRank,0.6713283882853195,-0.023256146003486956,0.7972847400318944,1.0,1.0,0.7302080561474583,0.7302636248807942,0.7302636248807942
betweennessRank,0.833999709075869,-0.0646137976036399,0.6270704212635905,0.7302080561474583,0.7302080561474583,1.0,0.9998640836221359,0.9998640836221359
loadRank,0.8339418557152771,-0.06489252978837216,0.6270207802125026,0.7302636248807942,0.7302636248807942,0.9998640836221359,1.0,1.0
reachRank,0.8339418557152771,-0.06489252978837216,0.6270207802125026,0.7302636248807942,0.7302636248807942,0.9998640836221359,1.0,1.0
