,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,0.0,0.5953882660704258,0.5771723935887736,0.5771723935887736,0.5294855957432636,0.5294748230586912,0.5294748230586912
instanceNumber,0.0,1.0,0.0,-0.0002706114159726096,-0.0002706114159726096,-0.00594193844897302,-0.005965407496395518,-0.005965407496395518
nodeNumber,0.5953882660704258,0.0,1.0,0.5526797611336478,0.5526797611336478,0.45022856525504096,0.44998250516838884,0.44998250516838884
degreeRank,0.5771723935887736,-0.0002706114159726096,0.5526797611336478,1.0,1.0,0.7605931027631861,0.760888986507362,0.760888986507362
closenessRank,0.5771723935887736,-0.0002706114159726096,0.5526797611336478,1.0,1.0,0.7605931027631861,0.760888986507362,0.760888986507362
betweennessRank,0.5294855957432636,-0.00594193844897302,0.45022856525504096,0.7605931027631861,0.7605931027631861,1.0,0.9997372528196798,0.9997372528196798
loadRank,0.5294748230586912,-0.005965407496395518,0.44998250516838884,0.760888986507362,0.760888986507362,0.9997372528196798,1.0,1.0
reachRank,0.5294748230586912,-0.005965407496395518,0.44998250516838884,0.760888986507362,0.760888986507362,0.9997372528196798,1.0,1.0
