,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,1.3134589653750047e-17,0.5885314737471301,0.4844805809457451,0.4844805809457451,0.6333061868421381,0.6333061868421381,0.6333061868421381
instanceNumber,1.3134589653750047e-17,1.0,-7.174244634107055e-15,0.0015869790339005504,0.0015869790339005504,0.0001326019082443707,0.0001326019082443707,0.0001326019082443707
nodeNumber,0.5885314737471301,-7.174244634107055e-15,1.0,0.2742568551166643,0.2742568551166643,0.3592343580322829,0.3592343580322829,0.3592343580322829
degreeRank,0.4844805809457451,0.0015869790339005504,0.2742568551166643,1.0,1.0,0.8301607595151038,0.8301607595151038,0.8301607595151038
closenessRank,0.4844805809457451,0.0015869790339005504,0.2742568551166643,1.0,1.0,0.8301607595151038,0.8301607595151038,0.8301607595151038
betweennessRank,0.6333061868421381,0.0001326019082443707,0.3592343580322829,0.8301607595151038,0.8301607595151038,1.0,1.0,1.0
loadRank,0.6333061868421381,0.0001326019082443707,0.3592343580322829,0.8301607595151038,0.8301607595151038,1.0,1.0,1.0
reachRank,0.6333061868421381,0.0001326019082443707,0.3592343580322829,0.8301607595151038,0.8301607595151038,1.0,1.0,1.0
