,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,0.0,0.5953882660704258,0.47800351516179784,0.47800351516179784,0.6285846785748037,0.6285846785748037,0.6285846785748037
instanceNumber,0.0,1.0,0.0,0.010292786616093891,0.010292786616093891,-0.0036588663998619493,-0.0036588663998619493,-0.0036588663998619493
nodeNumber,0.5953882660704258,0.0,1.0,0.28652142130571445,0.28652142130571445,0.3719009144364107,0.3719009144364107,0.3719009144364107
degreeRank,0.47800351516179784,0.010292786616093891,0.28652142130571445,1.0,1.0,0.7654667945239249,0.7654667945239249,0.7654667945239249
closenessRank,0.47800351516179784,0.010292786616093891,0.28652142130571445,1.0,1.0,0.7654667945239249,0.7654667945239249,0.7654667945239249
betweennessRank,0.6285846785748037,-0.0036588663998619493,0.3719009144364107,0.7654667945239249,0.7654667945239249,1.0,1.0,1.0
loadRank,0.6285846785748037,-0.0036588663998619493,0.3719009144364107,0.7654667945239249,0.7654667945239249,1.0,1.0,1.0
reachRank,0.6285846785748037,-0.0036588663998619493,0.3719009144364107,0.7654667945239249,0.7654667945239249,1.0,1.0,1.0
