,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,0.0,0.48495401006953665,0.5092019486992044,0.5092019486992044,0.4852589068188356,0.4852584626074742,0.4852584626074742
instanceNumber,0.0,1.0,0.0,0.0069282428228538626,0.0069282428228538626,3.022463669044255e-05,3.0345216062671113e-05,3.0345216062671113e-05
nodeNumber,0.48495401006953665,0.0,1.0,0.6620435389034214,0.6620435389034214,0.6151764596278088,0.6141709225652832,0.6141709225652832
degreeRank,0.5092019486992044,0.0069282428228538626,0.6620435389034214,1.0,1.0,0.7712143120407653,0.7759751291307019,0.7759751291307019
closenessRank,0.5092019486992044,0.0069282428228538626,0.6620435389034214,1.0,1.0,0.7712143120407653,0.7759751291307019,0.7759751291307019
betweennessRank,0.4852589068188356,3.022463669044255e-05,0.6151764596278088,0.7712143120407653,0.7712143120407653,1.0,0.9805425413808484,0.9805425413808484
loadRank,0.4852584626074742,3.0345216062671113e-05,0.6141709225652832,0.7759751291307019,0.7759751291307019,0.9805425413808484,1.0,0.9999999999999999
reachRank,0.4852584626074742,3.0345216062671113e-05,0.6141709225652832,0.7759751291307019,0.7759751291307019,0.9805425413808484,0.9999999999999999,1.0
