,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,0.0,0.48495401006953665,0.4687394311891359,0.4687394311891359,0.42263901124201103,0.42262804286031785,0.42262804286031785
instanceNumber,0.0,1.0,0.0,-0.0001958885337232393,-0.0001958885337232393,-0.0045159209108373375,-0.004529045972153698,-0.004529045972153698
nodeNumber,0.48495401006953665,0.0,1.0,0.4003721271781602,0.4003721271781602,0.31404687759055533,0.31385375154675693,0.31385375154675693
degreeRank,0.4687394311891359,-0.0001958885337232393,0.4003721271781602,1.0,1.0,0.5850473908838204,0.5853446777847406,0.5853446777847406
closenessRank,0.4687394311891359,-0.0001958885337232393,0.4003721271781602,1.0,1.0,0.5850473908838204,0.5853446777847406,0.5853446777847406
betweennessRank,0.42263901124201103,-0.0045159209108373375,0.31404687759055533,0.5850473908838204,0.5850473908838204,1.0,0.9915274232050126,0.9915274232050126
loadRank,0.42262804286031785,-0.004529045972153698,0.31385375154675693,0.5853446777847406,0.5853446777847406,0.9915274232050126,1.0,1.0
reachRank,0.42262804286031785,-0.004529045972153698,0.31385375154675693,0.5853446777847406,0.5853446777847406,0.9915274232050126,1.0,1.0
