,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,0.0,0.5953882660704258,0.6210160515888514,0.6210160515888514,0.5956946503406726,0.5956942045322541,0.5956942045322541
instanceNumber,0.0,1.0,0.0,0.0110105388576537,0.0110105388576537,4.783578284553386e-05,4.807951965514676e-05,4.807951965514676e-05
nodeNumber,0.5953882660704258,0.0,1.0,0.8473174784589249,0.8473174784589249,0.8073287164506533,0.806337632583487,0.806337632583487
degreeRank,0.6210160515888514,0.0110105388576537,0.8473174784589249,1.0,1.0,0.9264640531496819,0.9293892755797101,0.9293892755797101
closenessRank,0.6210160515888514,0.0110105388576537,0.8473174784589249,1.0,1.0,0.9264640531496819,0.9293892755797101,0.9293892755797101
betweennessRank,0.5956946503406726,4.783578284553386e-05,0.8073287164506533,0.9264640531496819,0.9264640531496819,1.0,0.9992792101292299,0.9992792101292299
loadRank,0.5956942045322541,4.807951965514676e-05,0.806337632583487,0.9293892755797101,0.9293892755797101,0.9992792101292299,1.0,1.0
reachRank,0.5956942045322541,4.807951965514676e-05,0.806337632583487,0.9293892755797101,0.9293892755797101,0.9992792101292299,1.0,1.0
