,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,1.3134589653750047e-17,0.5885314737471301,0.5535371167228653,0.5535371167228653,0.5885382964735687,0.5885382964735689,0.5885382964735689
instanceNumber,1.3134589653750047e-17,1.0,-7.174244634107055e-15,0.0002912975810355405,0.0002912975810355405,3.6485892508377044e-06,3.6485892508531814e-06,3.6485892508531814e-06
nodeNumber,0.5885314737471301,-7.174244634107055e-15,1.0,0.32909243211099976,0.32909243211099976,0.3502193020526008,0.350147045496833,0.350147045496833
degreeRank,0.5535371167228653,0.0002912975810355405,0.32909243211099976,1.0,1.0,0.9876575581424477,0.986876380135205,0.986876380135205
closenessRank,0.5535371167228653,0.0002912975810355405,0.32909243211099976,1.0,1.0,0.9876575581424477,0.986876380135205,0.986876380135205
betweennessRank,0.5885382964735687,3.6485892508377044e-06,0.3502193020526008,0.9876575581424477,0.9876575581424477,1.0,0.9997938774988496,0.9997938774988496
loadRank,0.5885382964735689,3.6485892508531814e-06,0.350147045496833,0.986876380135205,0.986876380135205,0.9997938774988496,1.0,1.0
reachRank,0.5885382964735689,3.6485892508531814e-06,0.350147045496833,0.986876380135205,0.986876380135205,0.9997938774988496,1.0,1.0
