,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,1.3134589653750047e-17,0.5885314737471301,0.6768146979223018,0.6768146979223018,0.8799179308648173,0.879835311185128,0.879835311185128
instanceNumber,1.3134589653750047e-17,1.0,-7.174244634107055e-15,-0.0032510702791685867,-0.0032510702791685867,-0.030624575749211565,-0.03072947967748348,-0.03072947967748348
nodeNumber,0.5885314737471301,-7.174244634107055e-15,1.0,0.7786930994884819,0.7786930994884819,0.6362404710392356,0.6362901240652129,0.6362901240652129
degreeRank,0.6768146979223018,-0.0032510702791685867,0.7786930994884819,1.0,1.0,0.7565163452586559,0.7565755044493128,0.7565755044493128
closenessRank,0.6768146979223018,-0.0032510702791685867,0.7786930994884819,1.0,1.0,0.7565163452586559,0.7565755044493128,0.7565755044493128
betweennessRank,0.8799179308648173,-0.030624575749211565,0.6362404710392356,0.7565163452586559,0.7565163452586559,1.0,0.9999298118204997,0.9999298118204997
loadRank,0.879835311185128,-0.03072947967748348,0.6362901240652129,0.7565755044493128,0.7565755044493128,0.9999298118204997,1.0,1.0
reachRank,0.879835311185128,-0.03072947967748348,0.6362901240652129,0.7565755044493128,0.7565755044493128,0.9999298118204997,1.0,1.0
