,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,0.0,0.48495401006953665,0.4529873554353841,0.4529873554353841,0.4849560955164674,0.4849560955164674,0.4849560955164674
instanceNumber,0.0,1.0,0.0,-0.0006662576196862493,-0.0006662576196862493,2.2459433812690106e-06,2.2459433812690106e-06,2.2459433812690106e-06
nodeNumber,0.48495401006953665,0.0,1.0,0.2343260732355146,0.2343260732355146,0.2499099972212558,0.24985874706595054,0.24985874706595054
degreeRank,0.4529873554353841,-0.0006662576196862493,0.2343260732355146,1.0,1.0,0.9022622738506373,0.8986268562348095,0.8986268562348095
closenessRank,0.4529873554353841,-0.0006662576196862493,0.2343260732355146,1.0,1.0,0.9022622738506373,0.8986268562348095,0.8986268562348095
betweennessRank,0.4849560955164674,2.2459433812690106e-06,0.2499099972212558,0.9022622738506373,0.9022622738506373,1.0,0.9883467285529421,0.9883467285529421
loadRank,0.4849560955164674,2.2459433812690106e-06,0.24985874706595054,0.8986268562348095,0.8986268562348095,0.9883467285529421,1.0,1.0
reachRank,0.4849560955164674,2.2459433812690106e-06,0.24985874706595054,0.8986268562348095,0.8986268562348095,0.9883467285529421,1.0,1.0
