,networkSize,instanceNumber,nodeNumber,degreeRank,closenessRank,betweennessRank,loadRank,reachRank
networkSize,1.0,0.0,0.48495401006953665,0.5589427546542108,0.5589427546542108,0.7237525190847811,0.7236719964507291,0.7236719964507291
instanceNumber,0.0,1.0,0.0,-0.015773838357323534,-0.015773838357323534,-0.0519092098635517,-0.05205479293215577,-0.05205479293215577
nodeNumber,0.48495401006953665,0.0,1.0,0.6088128099534287,0.6088128099534287,0.45701322978105424,0.45696046420567066,0.45696046420567066
degreeRank,0.5589427546542108,-0.015773838357323534,0.6088128099534287,1.0,1.0,0.5556535516514858,0.5557272651286576,0.5557272651286576
closenessRank,0.5589427546542108,-0.015773838357323534,0.6088128099534287,1.0,1.0,0.5556535516514858,0.5557272651286576,0.5557272651286576
betweennessRank,0.7237525190847811,-0.0519092098635517,0.45701322978105424,0.5556535516514858,0.5556535516514858,1.0,0.9990996788224938,0.9990996788224938
loadRank,0.7236719964507291,-0.05205479293215577,0.45696046420567066,0.5557272651286576,0.5557272651286576,0.9990996788224938,1.0,0.9999999999999999
reachRank,0.7236719964507291,-0.05205479293215577,0.45696046420567066,0.5557272651286576,0.5557272651286576,0.9990996788224938,0.9999999999999999,1.0
