networkType,accuracy,precision,recall
Scale-Free,0.9128,0.5815,0.6686
Small-World,0.924,0.7462,0.9048
Random,0.891,0.8982,0.766
Small-World/Scale-Free,0.8903,0.6431,0.9167
overall,0.9045,0.7173,0.814
